CustomerID,Recency,Frequency,Monetary,R_quintile,F_quintile,M_quintile,rfm_segment,Segment,Country
12346,325,1,77183.6,1,1,5,115,Cant Lose Them,United Kingdom
12347,2,7,4310.0,5,5,5,555,Champions,Iceland
12348,75,4,1797.24,3,4,4,344,Loyal Customers,Finland
12349,18,1,1757.55,4,1,4,414,Promising,Italy
12350,310,1,334.4,1,1,2,112,Lost,Norway
12352,36,8,2506.04,4,5,5,455,Champions,Norway
12353,204,1,89.0,2,1,1,211,Hibernating,Bahrain
12354,232,1,1079.4,2,1,4,214,Cant Lose Them,Spain
12355,214,1,459.4,2,1,3,213,About To Sleep,Bahrain
12356,22,3,2811.43,4,4,5,445,Champions,Portugal
12357,33,1,6207.67,4,1,5,415,Promising,Switzerland
12358,1,2,1168.06,5,3,4,534,Customers Needing Attention,Austria
12359,57,4,6372.58,3,4,5,345,Loyal Customers,Cyprus
12360,52,3,2662.06,3,4,5,345,Loyal Customers,Austria
12361,287,1,189.9,1,1,2,112,Lost,Belgium
12362,3,10,5226.23,5,5,5,555,Champions,Belgium
12363,109,2,552.0,3,3,3,333,Potential Loyalist,Unspecified
12364,7,4,1313.1,5,4,4,544,Champions,Belgium
12365,291,2,641.38,1,3,3,133,At Risk,Cyprus
12367,4,1,168.9,5,1,1,511,Recent Customers,Denmark
12370,51,4,3545.69,3,4,5,345,Loyal Customers,Cyprus
12370,51,4,3545.69,3,4,5,345,Loyal Customers,Austria
12371,44,2,1887.96,4,3,4,434,Customers Needing Attention,Switzerland
12372,71,3,1298.04,3,4,4,344,Loyal Customers,Denmark
12373,311,1,364.6,1,1,2,112,Lost,Austria
12374,25,1,742.9300000000001,4,1,3,413,Promising,Austria
12375,10,2,457.5,5,3,3,533,Potential Loyalist,Finland
12377,315,2,1628.12,1,3,4,134,At Risk,Switzerland
12378,129,1,4008.62,2,1,5,215,Cant Lose Them,Switzerland
12379,81,2,852.24,3,3,3,333,Potential Loyalist,Belgium
12380,21,4,2724.81,4,4,5,445,Champions,Belgium
12381,4,5,1845.31,5,5,4,554,Champions,Norway
12383,184,5,1850.56,2,5,4,254,At Risk,Belgium
12384,28,2,585.27,4,3,3,433,Potential Loyalist,Switzerland
12386,337,2,401.9,1,3,2,132,Hibernating,Australia
12388,15,6,2780.66,5,5,5,555,Champions,Australia
12390,79,1,549.84,3,1,3,313,Promising,Belgium
12391,21,1,460.89,4,1,3,413,Promising,Cyprus
12393,72,4,1582.6,3,4,4,344,Loyal Customers,Australia
12394,63,2,1272.48,3,3,4,334,Customers Needing Attention,Belgium
12394,63,2,1272.48,3,3,4,334,Customers Needing Attention,Denmark
12395,19,12,3018.63,4,5,5,455,Champions,Belgium
12397,35,2,2409.9,4,3,5,435,Loyal Customers,Belgium
12398,45,1,1635.66,4,1,4,414,Promising,Switzerland
12399,119,4,1108.65,2,4,4,244,At Risk,Belgium
12401,303,1,84.3,1,1,1,111,Lost,Belgium
12402,323,1,225.6,1,1,2,112,Lost,Belgium
12403,49,1,427.7,4,1,2,412,Recent Customers,Denmark
12405,148,1,1710.39,2,1,4,214,Cant Lose Them,Finland
12406,22,2,3415.3,4,3,5,435,Loyal Customers,Denmark
12407,49,5,1708.12,4,5,4,454,Champions,Belgium
12408,32,5,2888.55,4,5,5,455,Champions,Belgium
12409,78,3,11072.67,3,4,5,345,Loyal Customers,Switzerland
12410,308,2,693.3299999999999,1,3,3,133,At Risk,Switzerland
12412,74,3,1226.88,3,4,4,344,Loyal Customers,Denmark
12413,66,3,758.1,3,4,3,343,Customers Needing Attention,France
12414,217,3,562.41,2,4,3,243,At Risk,Austria
12415,24,21,124914.53,4,5,5,455,Champions,Australia
12417,3,9,3649.1,5,5,5,555,Champions,Belgium
12417,3,9,3649.1,5,5,5,555,Champions,Spain
12418,112,1,668.58,3,1,3,313,Promising,Switzerland
12420,63,1,600.39,3,1,3,313,Promising,Cyprus
12421,15,4,807.04,5,4,3,543,Loyal Customers,Spain
12422,95,3,803.5600000000001,3,4,3,343,Customers Needing Attention,Australia
12422,95,3,803.5600000000001,3,4,3,343,Customers Needing Attention,Switzerland
12423,0,8,1859.31,5,5,4,554,Champions,Belgium
12424,162,2,1760.96,2,3,4,234,At Risk,Australia
12425,78,1,777.2,3,1,3,313,Promising,Portugal
12426,194,1,582.73,2,1,3,213,About To Sleep,Germany
12427,21,3,825.8,4,4,3,443,Customers Needing Attention,Germany
12428,25,9,7956.46,4,5,5,455,Champions,Finland
12429,9,4,3750.4,5,4,5,545,Champions,Denmark
12429,9,4,3750.4,5,4,5,545,Champions,Austria
12430,43,1,256.4,4,1,2,412,Recent Customers,Norway
12431,35,15,6487.45,4,5,5,455,Champions,Australia
12431,35,15,6487.45,4,5,5,455,Champions,Belgium
12432,42,5,5059.32,4,5,5,455,Champions,Norway
12433,0,7,13375.87,5,5,5,555,Champions,Norway
12434,84,2,806.14,3,3,3,333,Potential Loyalist,Australia
12435,79,2,7829.89,3,3,5,335,Loyal Customers,Denmark
12436,99,1,509.01,3,1,3,313,Promising,Norway
12437,1,18,4951.41,5,5,5,555,Champions,France
12438,14,2,2906.85,5,3,5,535,Customers Needing Attention,Norway
12441,366,1,173.55,1,1,1,111,Lost,France
12442,3,1,172.06,5,1,1,511,Recent Customers,Spain
12444,21,5,5005.46,4,5,5,455,Champions,Norway
12445,22,1,133.4,4,1,1,411,Recent Customers,Spain
12446,57,1,1002.31,3,1,4,314,Promising,RSA
12447,243,1,476.49,1,1,3,113,Cant Lose Them,Belgium
12448,44,1,449.45,4,1,3,413,Promising,Spain
12449,22,4,4067.29,4,4,5,445,Champions,Belgium
12450,156,2,197.88,2,3,2,232,Hibernating,Spain
12451,10,5,9035.52,5,5,5,555,Champions,Switzerland
12452,16,2,430.57,5,3,2,532,Potential Loyalist,Switzerland
12453,134,1,707.09,2,1,3,213,About To Sleep,Austria
12454,56,1,3528.34,3,1,5,315,Promising,Spain
12455,73,6,2466.86,3,5,5,355,Loyal Customers,Cyprus
12455,73,6,2466.86,3,5,5,355,Loyal Customers,Spain
12456,44,3,3181.04,4,4,5,445,Champions,Switzerland
12457,66,7,2363.23,3,5,5,355,Loyal Customers,Switzerland
12457,66,7,2363.23,3,5,5,355,Loyal Customers,Cyprus
12458,71,2,947.4,3,3,4,334,Customers Needing Attention,Switzerland
12461,94,2,826.88,3,3,3,333,Potential Loyalist,Switzerland
12462,18,2,1189.59,4,3,4,434,Customers Needing Attention,Spain
12463,53,4,1344.78,3,4,4,344,Loyal Customers,Belgium
12464,10,8,1212.05,5,5,4,554,Champions,Belgium
12465,17,2,742.1899999999999,5,3,3,533,Potential Loyalist,Belgium
12468,187,2,729.5400000000001,2,3,3,233,Hibernating,Germany
12471,2,30,19824.05,5,5,5,555,Champions,Germany
12472,32,7,6572.11,4,5,5,455,Champions,Germany
12473,29,5,3938.55,4,5,5,455,Champions,Germany
12474,17,18,7375.79,5,5,5,555,Champions,Germany
12475,53,1,723.38,3,1,3,313,Promising,Germany
12476,15,11,6816.42,5,5,5,555,Champions,Germany
12477,22,6,13219.74,4,5,5,455,Champions,Germany
12478,3,1,680.99,5,1,3,513,Promising,Greece
12479,11,1,527.2,5,1,3,513,Promising,Germany
12480,28,4,3281.63,4,4,5,445,Champions,Germany
12481,22,10,5596.32,4,5,5,455,Champions,Germany
12483,17,8,2484.98,5,5,5,555,Champions,Sweden
12484,32,6,4541.72,4,5,5,455,Champions,Spain
12488,9,3,1298.66,5,4,4,544,Champions,France
12489,336,1,334.93,1,1,2,112,Lost,France
12490,5,10,5417.93,5,5,5,555,Champions,France
12491,38,1,460.4,4,1,3,413,Promising,France
12492,63,2,263.21000000000004,3,3,2,332,Hibernating,Germany
12493,165,2,433.74,2,3,2,232,Hibernating,France
12494,15,7,1246.1,5,5,4,554,Champions,France
12497,81,1,1043.1,3,1,4,314,Promising,Germany
12498,21,3,403.7000000000001,4,4,2,442,Potential Loyalist,Germany
12500,23,11,4257.82,4,5,5,455,Champions,Germany
12501,336,1,2169.39,1,1,5,115,Cant Lose Them,Germany
12502,95,5,3723.87,3,5,5,355,Loyal Customers,Spain
12504,18,2,482.05,4,3,3,433,Potential Loyalist,Germany
12506,232,1,73.5,2,1,1,211,Hibernating,France
12507,134,3,1304.81,2,4,4,244,At Risk,Spain
12508,26,2,398.27,4,3,2,432,Potential Loyalist,France
12509,284,1,176.5,1,1,1,111,Lost,France
12510,142,2,982.57,2,3,4,234,At Risk,Spain
12512,66,2,138.03,3,3,1,331,About To Sleep,Israel
12513,112,1,612.29,3,1,3,313,Promising,France
12514,267,1,1017.68,1,1,4,114,Cant Lose Them,Italy
12515,353,1,383.7,1,1,2,112,Lost,Italy
12516,77,2,1312.06,3,3,4,334,Customers Needing Attention,Germany
12517,28,5,2502.84,4,5,5,455,Champions,Germany
12518,0,5,2056.89,5,5,5,555,Champions,Germany
12519,63,1,340.84,3,1,2,312,About To Sleep,Germany
